image_path,mask_path,category,architecture,defect_type,gradcam_path,ig_path,occlusion_path,gradientsshap_path
E:\Research\Code_Start\data\preprocessed\hazelnut\test\def\hazel_test_def_011.png,E:\Research\Code_Start\data\ground_truth_masks\hazelnut\test\hazel_test_def_011_mask.png,hazelnut,resnet18,cut,E:\Research\Code_Start\xai_outputs\gradcam\hazelnut\resnet18\hazel_test_def_011_gradcam_resnet18.npy,E:\Research\Code_Start\xai_outputs\integrated_gradients\hazelnut\resnet18\hazel_test_def_011_ig_resnet18.npy,E:\Research\Code_Start\xai_outputs\occlusion_sensitivity\hazelnut\resnet18\hazel_test_def_011_occlusion_resnet18.npy,E:\Research\Code_Start\xai_outputs\gradientsshap\hazelnut\resnet18\hazel_test_def_011_gradientsshap_resnet18.npy
E:\Research\Code_Start\data\preprocessed\hazelnut\test\def\hazel_test_def_012.png,E:\Research\Code_Start\data\ground_truth_masks\hazelnut\test\hazel_test_def_012_mask.png,hazelnut,resnet18,cut,E:\Research\Code_Start\xai_outputs\gradcam\hazelnut\resnet18\hazel_test_def_012_gradcam_resnet18.npy,E:\Research\Code_Start\xai_outputs\integrated_gradients\hazelnut\resnet18\hazel_test_def_012_ig_resnet18.npy,E:\Research\Code_Start\xai_outputs\occlusion_sensitivity\hazelnut\resnet18\hazel_test_def_012_occlusion_resnet18.npy,E:\Research\Code_Start\xai_outputs\gradientsshap\hazelnut\resnet18\hazel_test_def_012_gradientsshap_resnet18.npy
E:\Research\Code_Start\data\preprocessed\hazelnut\test\def\hazel_test_def_013.png,E:\Research\Code_Start\data\ground_truth_masks\hazelnut\test\hazel_test_def_013_mask.png,hazelnut,resnet18,cut,E:\Research\Code_Start\xai_outputs\gradcam\hazelnut\resnet18\hazel_test_def_013_gradcam_resnet18.npy,E:\Research\Code_Start\xai_outputs\integrated_gradients\hazelnut\resnet18\hazel_test_def_013_ig_resnet18.npy,E:\Research\Code_Start\xai_outputs\occlusion_sensitivity\hazelnut\resnet18\hazel_test_def_013_occlusion_resnet18.npy,E:\Research\Code_Start\xai_outputs\gradientsshap\hazelnut\resnet18\hazel_test_def_013_gradientsshap_resnet18.npy
E:\Research\Code_Start\data\preprocessed\hazelnut\test\def\hazel_test_def_014.png,E:\Research\Code_Start\data\ground_truth_masks\hazelnut\test\hazel_test_def_014_mask.png,hazelnut,resnet18,cut,E:\Research\Code_Start\xai_outputs\gradcam\hazelnut\resnet18\hazel_test_def_014_gradcam_resnet18.npy,E:\Research\Code_Start\xai_outputs\integrated_gradients\hazelnut\resnet18\hazel_test_def_014_ig_resnet18.npy,E:\Research\Code_Start\xai_outputs\occlusion_sensitivity\hazelnut\resnet18\hazel_test_def_014_occlusion_resnet18.npy,E:\Research\Code_Start\xai_outputs\gradientsshap\hazelnut\resnet18\hazel_test_def_014_gradientsshap_resnet18.npy
E:\Research\Code_Start\data\preprocessed\hazelnut\test\def\hazel_test_def_015.png,E:\Research\Code_Start\data\ground_truth_masks\hazelnut\test\hazel_test_def_015_mask.png,hazelnut,resnet18,cut,E:\Research\Code_Start\xai_outputs\gradcam\hazelnut\resnet18\hazel_test_def_015_gradcam_resnet18.npy,E:\Research\Code_Start\xai_outputs\integrated_gradients\hazelnut\resnet18\hazel_test_def_015_ig_resnet18.npy,E:\Research\Code_Start\xai_outputs\occlusion_sensitivity\hazelnut\resnet18\hazel_test_def_015_occlusion_resnet18.npy,E:\Research\Code_Start\xai_outputs\gradientsshap\hazelnut\resnet18\hazel_test_def_015_gradientsshap_resnet18.npy
E:\Research\Code_Start\data\preprocessed\hazelnut\test\def\hazel_test_def_016.png,E:\Research\Code_Start\data\ground_truth_masks\hazelnut\test\hazel_test_def_016_mask.png,hazelnut,resnet18,cut,E:\Research\Code_Start\xai_outputs\gradcam\hazelnut\resnet18\hazel_test_def_016_gradcam_resnet18.npy,E:\Research\Code_Start\xai_outputs\integrated_gradients\hazelnut\resnet18\hazel_test_def_016_ig_resnet18.npy,E:\Research\Code_Start\xai_outputs\occlusion_sensitivity\hazelnut\resnet18\hazel_test_def_016_occlusion_resnet18.npy,E:\Research\Code_Start\xai_outputs\gradientsshap\hazelnut\resnet18\hazel_test_def_016_gradientsshap_resnet18.npy
E:\Research\Code_Start\data\preprocessed\hazelnut\test\def\hazel_test_def_017.png,E:\Research\Code_Start\data\ground_truth_masks\hazelnut\test\hazel_test_def_017_mask.png,hazelnut,resnet18,cut,E:\Research\Code_Start\xai_outputs\gradcam\hazelnut\resnet18\hazel_test_def_017_gradcam_resnet18.npy,E:\Research\Code_Start\xai_outputs\integrated_gradients\hazelnut\resnet18\hazel_test_def_017_ig_resnet18.npy,E:\Research\Code_Start\xai_outputs\occlusion_sensitivity\hazelnut\resnet18\hazel_test_def_017_occlusion_resnet18.npy,E:\Research\Code_Start\xai_outputs\gradientsshap\hazelnut\resnet18\hazel_test_def_017_gradientsshap_resnet18.npy
E:\Research\Code_Start\data\preprocessed\hazelnut\test\def\hazel_test_def_018.png,E:\Research\Code_Start\data\ground_truth_masks\hazelnut\test\hazel_test_def_018_mask.png,hazelnut,resnet18,cut,E:\Research\Code_Start\xai_outputs\gradcam\hazelnut\resnet18\hazel_test_def_018_gradcam_resnet18.npy,E:\Research\Code_Start\xai_outputs\integrated_gradients\hazelnut\resnet18\hazel_test_def_018_ig_resnet18.npy,E:\Research\Code_Start\xai_outputs\occlusion_sensitivity\hazelnut\resnet18\hazel_test_def_018_occlusion_resnet18.npy,E:\Research\Code_Start\xai_outputs\gradientsshap\hazelnut\resnet18\hazel_test_def_018_gradientsshap_resnet18.npy
E:\Research\Code_Start\data\preprocessed\hazelnut\test\def\hazel_test_def_019.png,E:\Research\Code_Start\data\ground_truth_masks\hazelnut\test\hazel_test_def_019_mask.png,hazelnut,resnet18,hole,E:\Research\Code_Start\xai_outputs\gradcam\hazelnut\resnet18\hazel_test_def_019_gradcam_resnet18.npy,E:\Research\Code_Start\xai_outputs\integrated_gradients\hazelnut\resnet18\hazel_test_def_019_ig_resnet18.npy,E:\Research\Code_Start\xai_outputs\occlusion_sensitivity\hazelnut\resnet18\hazel_test_def_019_occlusion_resnet18.npy,E:\Research\Code_Start\xai_outputs\gradientsshap\hazelnut\resnet18\hazel_test_def_019_gradientsshap_resnet18.npy
E:\Research\Code_Start\data\preprocessed\hazelnut\test\def\hazel_test_def_020.png,E:\Research\Code_Start\data\ground_truth_masks\hazelnut\test\hazel_test_def_020_mask.png,hazelnut,resnet18,hole,E:\Research\Code_Start\xai_outputs\gradcam\hazelnut\resnet18\hazel_test_def_020_gradcam_resnet18.npy,E:\Research\Code_Start\xai_outputs\integrated_gradients\hazelnut\resnet18\hazel_test_def_020_ig_resnet18.npy,E:\Research\Code_Start\xai_outputs\occlusion_sensitivity\hazelnut\resnet18\hazel_test_def_020_occlusion_resnet18.npy,E:\Research\Code_Start\xai_outputs\gradientsshap\hazelnut\resnet18\hazel_test_def_020_gradientsshap_resnet18.npy
E:\Research\Code_Start\data\preprocessed\hazelnut\test\def\hazel_test_def_021.png,E:\Research\Code_Start\data\ground_truth_masks\hazelnut\test\hazel_test_def_021_mask.png,hazelnut,resnet18,hole,E:\Research\Code_Start\xai_outputs\gradcam\hazelnut\resnet18\hazel_test_def_021_gradcam_resnet18.npy,E:\Research\Code_Start\xai_outputs\integrated_gradients\hazelnut\resnet18\hazel_test_def_021_ig_resnet18.npy,E:\Research\Code_Start\xai_outputs\occlusion_sensitivity\hazelnut\resnet18\hazel_test_def_021_occlusion_resnet18.npy,E:\Research\Code_Start\xai_outputs\gradientsshap\hazelnut\resnet18\hazel_test_def_021_gradientsshap_resnet18.npy
E:\Research\Code_Start\data\preprocessed\hazelnut\test\def\hazel_test_def_022.png,E:\Research\Code_Start\data\ground_truth_masks\hazelnut\test\hazel_test_def_022_mask.png,hazelnut,resnet18,hole,E:\Research\Code_Start\xai_outputs\gradcam\hazelnut\resnet18\hazel_test_def_022_gradcam_resnet18.npy,E:\Research\Code_Start\xai_outputs\integrated_gradients\hazelnut\resnet18\hazel_test_def_022_ig_resnet18.npy,E:\Research\Code_Start\xai_outputs\occlusion_sensitivity\hazelnut\resnet18\hazel_test_def_022_occlusion_resnet18.npy,E:\Research\Code_Start\xai_outputs\gradientsshap\hazelnut\resnet18\hazel_test_def_022_gradientsshap_resnet18.npy
E:\Research\Code_Start\data\preprocessed\hazelnut\test\def\hazel_test_def_023.png,E:\Research\Code_Start\data\ground_truth_masks\hazelnut\test\hazel_test_def_023_mask.png,hazelnut,resnet18,hole,E:\Research\Code_Start\xai_outputs\gradcam\hazelnut\resnet18\hazel_test_def_023_gradcam_resnet18.npy,E:\Research\Code_Start\xai_outputs\integrated_gradients\hazelnut\resnet18\hazel_test_def_023_ig_resnet18.npy,E:\Research\Code_Start\xai_outputs\occlusion_sensitivity\hazelnut\resnet18\hazel_test_def_023_occlusion_resnet18.npy,E:\Research\Code_Start\xai_outputs\gradientsshap\hazelnut\resnet18\hazel_test_def_023_gradientsshap_resnet18.npy
E:\Research\Code_Start\data\preprocessed\hazelnut\test\def\hazel_test_def_024.png,E:\Research\Code_Start\data\ground_truth_masks\hazelnut\test\hazel_test_def_024_mask.png,hazelnut,resnet18,hole,E:\Research\Code_Start\xai_outputs\gradcam\hazelnut\resnet18\hazel_test_def_024_gradcam_resnet18.npy,E:\Research\Code_Start\xai_outputs\integrated_gradients\hazelnut\resnet18\hazel_test_def_024_ig_resnet18.npy,E:\Research\Code_Start\xai_outputs\occlusion_sensitivity\hazelnut\resnet18\hazel_test_def_024_occlusion_resnet18.npy,E:\Research\Code_Start\xai_outputs\gradientsshap\hazelnut\resnet18\hazel_test_def_024_gradientsshap_resnet18.npy
E:\Research\Code_Start\data\preprocessed\hazelnut\test\def\hazel_test_def_025.png,E:\Research\Code_Start\data\ground_truth_masks\hazelnut\test\hazel_test_def_025_mask.png,hazelnut,resnet18,hole,E:\Research\Code_Start\xai_outputs\gradcam\hazelnut\resnet18\hazel_test_def_025_gradcam_resnet18.npy,E:\Research\Code_Start\xai_outputs\integrated_gradients\hazelnut\resnet18\hazel_test_def_025_ig_resnet18.npy,E:\Research\Code_Start\xai_outputs\occlusion_sensitivity\hazelnut\resnet18\hazel_test_def_025_occlusion_resnet18.npy,E:\Research\Code_Start\xai_outputs\gradientsshap\hazelnut\resnet18\hazel_test_def_025_gradientsshap_resnet18.npy
E:\Research\Code_Start\data\preprocessed\hazelnut\test\def\hazel_test_def_026.png,E:\Research\Code_Start\data\ground_truth_masks\hazelnut\test\hazel_test_def_026_mask.png,hazelnut,resnet18,hole,E:\Research\Code_Start\xai_outputs\gradcam\hazelnut\resnet18\hazel_test_def_026_gradcam_resnet18.npy,E:\Research\Code_Start\xai_outputs\integrated_gradients\hazelnut\resnet18\hazel_test_def_026_ig_resnet18.npy,E:\Research\Code_Start\xai_outputs\occlusion_sensitivity\hazelnut\resnet18\hazel_test_def_026_occlusion_resnet18.npy,E:\Research\Code_Start\xai_outputs\gradientsshap\hazelnut\resnet18\hazel_test_def_026_gradientsshap_resnet18.npy
E:\Research\Code_Start\data\preprocessed\hazelnut\test\def\hazel_test_def_027.png,E:\Research\Code_Start\data\ground_truth_masks\hazelnut\test\hazel_test_def_027_mask.png,hazelnut,resnet18,hole,E:\Research\Code_Start\xai_outputs\gradcam\hazelnut\resnet18\hazel_test_def_027_gradcam_resnet18.npy,E:\Research\Code_Start\xai_outputs\integrated_gradients\hazelnut\resnet18\hazel_test_def_027_ig_resnet18.npy,E:\Research\Code_Start\xai_outputs\occlusion_sensitivity\hazelnut\resnet18\hazel_test_def_027_occlusion_resnet18.npy,E:\Research\Code_Start\xai_outputs\gradientsshap\hazelnut\resnet18\hazel_test_def_027_gradientsshap_resnet18.npy
E:\Research\Code_Start\data\preprocessed\hazelnut\test\def\hazel_test_def_028.png,E:\Research\Code_Start\data\ground_truth_masks\hazelnut\test\hazel_test_def_028_mask.png,hazelnut,resnet18,print,E:\Research\Code_Start\xai_outputs\gradcam\hazelnut\resnet18\hazel_test_def_028_gradcam_resnet18.npy,E:\Research\Code_Start\xai_outputs\integrated_gradients\hazelnut\resnet18\hazel_test_def_028_ig_resnet18.npy,E:\Research\Code_Start\xai_outputs\occlusion_sensitivity\hazelnut\resnet18\hazel_test_def_028_occlusion_resnet18.npy,E:\Research\Code_Start\xai_outputs\gradientsshap\hazelnut\resnet18\hazel_test_def_028_gradientsshap_resnet18.npy
E:\Research\Code_Start\data\preprocessed\hazelnut\test\def\hazel_test_def_029.png,E:\Research\Code_Start\data\ground_truth_masks\hazelnut\test\hazel_test_def_029_mask.png,hazelnut,resnet18,print,E:\Research\Code_Start\xai_outputs\gradcam\hazelnut\resnet18\hazel_test_def_029_gradcam_resnet18.npy,E:\Research\Code_Start\xai_outputs\integrated_gradients\hazelnut\resnet18\hazel_test_def_029_ig_resnet18.npy,E:\Research\Code_Start\xai_outputs\occlusion_sensitivity\hazelnut\resnet18\hazel_test_def_029_occlusion_resnet18.npy,E:\Research\Code_Start\xai_outputs\gradientsshap\hazelnut\resnet18\hazel_test_def_029_gradientsshap_resnet18.npy
E:\Research\Code_Start\data\preprocessed\hazelnut\test\def\hazel_test_def_030.png,E:\Research\Code_Start\data\ground_truth_masks\hazelnut\test\hazel_test_def_030_mask.png,hazelnut,resnet18,print,E:\Research\Code_Start\xai_outputs\gradcam\hazelnut\resnet18\hazel_test_def_030_gradcam_resnet18.npy,E:\Research\Code_Start\xai_outputs\integrated_gradients\hazelnut\resnet18\hazel_test_def_030_ig_resnet18.npy,E:\Research\Code_Start\xai_outputs\occlusion_sensitivity\hazelnut\resnet18\hazel_test_def_030_occlusion_resnet18.npy,E:\Research\Code_Start\xai_outputs\gradientsshap\hazelnut\resnet18\hazel_test_def_030_gradientsshap_resnet18.npy
E:\Research\Code_Start\data\preprocessed\hazelnut\test\def\hazel_test_def_031.png,E:\Research\Code_Start\data\ground_truth_masks\hazelnut\test\hazel_test_def_031_mask.png,hazelnut,resnet18,print,E:\Research\Code_Start\xai_outputs\gradcam\hazelnut\resnet18\hazel_test_def_031_gradcam_resnet18.npy,E:\Research\Code_Start\xai_outputs\integrated_gradients\hazelnut\resnet18\hazel_test_def_031_ig_resnet18.npy,E:\Research\Code_Start\xai_outputs\occlusion_sensitivity\hazelnut\resnet18\hazel_test_def_031_occlusion_resnet18.npy,E:\Research\Code_Start\xai_outputs\gradientsshap\hazelnut\resnet18\hazel_test_def_031_gradientsshap_resnet18.npy
E:\Research\Code_Start\data\preprocessed\hazelnut\test\def\hazel_test_def_032.png,E:\Research\Code_Start\data\ground_truth_masks\hazelnut\test\hazel_test_def_032_mask.png,hazelnut,resnet18,print,E:\Research\Code_Start\xai_outputs\gradcam\hazelnut\resnet18\hazel_test_def_032_gradcam_resnet18.npy,E:\Research\Code_Start\xai_outputs\integrated_gradients\hazelnut\resnet18\hazel_test_def_032_ig_resnet18.npy,E:\Research\Code_Start\xai_outputs\occlusion_sensitivity\hazelnut\resnet18\hazel_test_def_032_occlusion_resnet18.npy,E:\Research\Code_Start\xai_outputs\gradientsshap\hazelnut\resnet18\hazel_test_def_032_gradientsshap_resnet18.npy
E:\Research\Code_Start\data\preprocessed\hazelnut\test\def\hazel_test_def_033.png,E:\Research\Code_Start\data\ground_truth_masks\hazelnut\test\hazel_test_def_033_mask.png,hazelnut,resnet18,print,E:\Research\Code_Start\xai_outputs\gradcam\hazelnut\resnet18\hazel_test_def_033_gradcam_resnet18.npy,E:\Research\Code_Start\xai_outputs\integrated_gradients\hazelnut\resnet18\hazel_test_def_033_ig_resnet18.npy,E:\Research\Code_Start\xai_outputs\occlusion_sensitivity\hazelnut\resnet18\hazel_test_def_033_occlusion_resnet18.npy,E:\Research\Code_Start\xai_outputs\gradientsshap\hazelnut\resnet18\hazel_test_def_033_gradientsshap_resnet18.npy
E:\Research\Code_Start\data\preprocessed\hazelnut\test\def\hazel_test_def_034.png,E:\Research\Code_Start\data\ground_truth_masks\hazelnut\test\hazel_test_def_034_mask.png,hazelnut,resnet18,print,E:\Research\Code_Start\xai_outputs\gradcam\hazelnut\resnet18\hazel_test_def_034_gradcam_resnet18.npy,E:\Research\Code_Start\xai_outputs\integrated_gradients\hazelnut\resnet18\hazel_test_def_034_ig_resnet18.npy,E:\Research\Code_Start\xai_outputs\occlusion_sensitivity\hazelnut\resnet18\hazel_test_def_034_occlusion_resnet18.npy,E:\Research\Code_Start\xai_outputs\gradientsshap\hazelnut\resnet18\hazel_test_def_034_gradientsshap_resnet18.npy
E:\Research\Code_Start\data\preprocessed\hazelnut\test\def\hazel_test_def_035.png,E:\Research\Code_Start\data\ground_truth_masks\hazelnut\test\hazel_test_def_035_mask.png,hazelnut,resnet18,print,E:\Research\Code_Start\xai_outputs\gradcam\hazelnut\resnet18\hazel_test_def_035_gradcam_resnet18.npy,E:\Research\Code_Start\xai_outputs\integrated_gradients\hazelnut\resnet18\hazel_test_def_035_ig_resnet18.npy,E:\Research\Code_Start\xai_outputs\occlusion_sensitivity\hazelnut\resnet18\hazel_test_def_035_occlusion_resnet18.npy,E:\Research\Code_Start\xai_outputs\gradientsshap\hazelnut\resnet18\hazel_test_def_035_gradientsshap_resnet18.npy
E:\Research\Code_Start\data\preprocessed\hazelnut\test\def\hazel_test_def_036.png,E:\Research\Code_Start\data\ground_truth_masks\hazelnut\test\hazel_test_def_036_mask.png,hazelnut,resnet18,print,E:\Research\Code_Start\xai_outputs\gradcam\hazelnut\resnet18\hazel_test_def_036_gradcam_resnet18.npy,E:\Research\Code_Start\xai_outputs\integrated_gradients\hazelnut\resnet18\hazel_test_def_036_ig_resnet18.npy,E:\Research\Code_Start\xai_outputs\occlusion_sensitivity\hazelnut\resnet18\hazel_test_def_036_occlusion_resnet18.npy,E:\Research\Code_Start\xai_outputs\gradientsshap\hazelnut\resnet18\hazel_test_def_036_gradientsshap_resnet18.npy
E:\Research\Code_Start\data\preprocessed\hazelnut\test\def\hazel_test_def_001.png,E:\Research\Code_Start\data\ground_truth_masks\hazelnut\test\hazel_test_def_001_mask.png,hazelnut,vit,crack,E:\Research\Code_Start\xai_outputs\gradcam\hazelnut\vit\hazel_test_def_001_gradcam_vit.npy,E:\Research\Code_Start\xai_outputs\integrated_gradients\hazelnut\vit\hazel_test_def_001_ig_vit.npy,E:\Research\Code_Start\xai_outputs\occlusion_sensitivity\hazelnut\vit\hazel_test_def_001_occlusion_vit.npy,E:\Research\Code_Start\xai_outputs\gradientsshap\hazelnut\vit\hazel_test_def_001_gradientsshap_vit.npy
E:\Research\Code_Start\data\preprocessed\hazelnut\test\def\hazel_test_def_002.png,E:\Research\Code_Start\data\ground_truth_masks\hazelnut\test\hazel_test_def_002_mask.png,hazelnut,vit,crack,E:\Research\Code_Start\xai_outputs\gradcam\hazelnut\vit\hazel_test_def_002_gradcam_vit.npy,E:\Research\Code_Start\xai_outputs\integrated_gradients\hazelnut\vit\hazel_test_def_002_ig_vit.npy,E:\Research\Code_Start\xai_outputs\occlusion_sensitivity\hazelnut\vit\hazel_test_def_002_occlusion_vit.npy,E:\Research\Code_Start\xai_outputs\gradientsshap\hazelnut\vit\hazel_test_def_002_gradientsshap_vit.npy
E:\Research\Code_Start\data\preprocessed\hazelnut\test\def\hazel_test_def_003.png,E:\Research\Code_Start\data\ground_truth_masks\hazelnut\test\hazel_test_def_003_mask.png,hazelnut,vit,crack,E:\Research\Code_Start\xai_outputs\gradcam\hazelnut\vit\hazel_test_def_003_gradcam_vit.npy,E:\Research\Code_Start\xai_outputs\integrated_gradients\hazelnut\vit\hazel_test_def_003_ig_vit.npy,E:\Research\Code_Start\xai_outputs\occlusion_sensitivity\hazelnut\vit\hazel_test_def_003_occlusion_vit.npy,E:\Research\Code_Start\xai_outputs\gradientsshap\hazelnut\vit\hazel_test_def_003_gradientsshap_vit.npy
E:\Research\Code_Start\data\preprocessed\hazelnut\test\def\hazel_test_def_004.png,E:\Research\Code_Start\data\ground_truth_masks\hazelnut\test\hazel_test_def_004_mask.png,hazelnut,vit,crack,E:\Research\Code_Start\xai_outputs\gradcam\hazelnut\vit\hazel_test_def_004_gradcam_vit.npy,E:\Research\Code_Start\xai_outputs\integrated_gradients\hazelnut\vit\hazel_test_def_004_ig_vit.npy,E:\Research\Code_Start\xai_outputs\occlusion_sensitivity\hazelnut\vit\hazel_test_def_004_occlusion_vit.npy,E:\Research\Code_Start\xai_outputs\gradientsshap\hazelnut\vit\hazel_test_def_004_gradientsshap_vit.npy
